"","country_name","v2xeg_eqdr","gini_disp"
"1","Mexico",0.293,40.3
"2","Sweden",0.903,28.6
"3","Switzerland",0.964,31
"4","Russia",0.597,30.6
"5","Egypt",0.209,32
"6","Colombia",0.358,50.9
"7","Poland",0.839,29.2
"8","Brazil",0.505,45.3
"9","United States",0.571,39.2
"10","Portugal",0.846,31.6
"11","El Salvador",0.25,37.2
"12","Bolivia",0.38,39
"13","Honduras",0.132,44.4
"14","Mali",0.222,35.8
"15","Pakistan",0.138,34.5
"16","Peru",0.336,42
"17","Vietnam",0.793,34.8
"18","Argentina",0.742,38.1
"19","South Korea",0.949,31.4
"20","Philippines",0.256,37.3
"21","Taiwan",0.959,29.2
"22","Thailand",0.523,36.6
"23","Indonesia",0.469,45.2
"24","Canada",0.893,30.3
"25","Chile",0.612,43.5
"26","Costa Rica",0.877,45.1
"27","Ecuador",0.376,41.6
"28","France",0.799,29.9
"29","Germany",0.954,30.9
"30","Guatemala",0.135,42.1
"31","Iran",0.57,35.4
"32","Iraq",0.381,33
"33","Ireland",0.839,28
"34","Italy",0.914,32.8
"35","Latvia",0.81,33.8
"36","Netherlands",0.896,26.9
"37","Panama",0.499,45
"38","Spain",0.887,31.4
"39","Turkey",0.554,40.6
"40","United Kingdom",0.838,31.9
"41","Uruguay",0.892,38.5
"42","Armenia",0.753,33.9
"43","Belarus",0.85,25.2
"44","China",0.355,40.8
"45","Dominican Republic",0.262,36.7
"46","Georgia",0.832,35.5
"47","Kazakhstan",0.752,27.8
"48","Kyrgyzstan",0.585,32.4
"49","Laos",0.481,36.8
"50","Moldova",0.822,31.6
"51","Palestinian Territories",0.677,45.9
"52","Rwanda",0.621,47
"53","Tajikistan",0.32,48.6
"54","Uzbekistan",0.527,31.1
"55","Austria",0.887,28.2
"56","Belgium",0.947,25.2
"57","Bulgaria",0.74,37.8
"58","Comoros",0.424,41.1
"59","Croatia",0.855,28.2
"60","Cyprus",0.949,29.4
"61","Czechia",0.965,24.6
"62","Denmark",0.984,28.8
"63","Estonia",0.955,30.8
"64","Finland",0.81,26.2
"65","Greece",0.92,31.1
"66","Lithuania",0.91,35.4
"67","Luxembourg",0.97,28.8
"68","Malta",0.956,29.6
"69","Norway",0.985,25.7
"70","Paraguay",0.147,45
"71","Romania",0.615,27.7
"72","Serbia",0.799,30.6
"73","Singapore",0.957,35.9
"74","Slovakia",0.834,22.3
"75","Slovenia",0.895,23.9
"76","Hungary",0.629,26.5
