"","country_name","prison_rate","CJ_index","CJ_effectiveness","CJ_impartial"
"1","Afghanistan",54,0.24,0.22,0.18
"2","Albania",196,0.41,0.37,0.47
"3","Algeria",217,0.42,0.46,0.6
"4","Angola",65,0.34,0.24,0.37
"5","Antigua & Barbuda",400,0.53,0.36,0.5
"6","Argentina",284,0.38,0.26,0.5
"7","Australia",170,0.72,0.62,0.55
"8","Austria",104,0.78,0.81,0.69
"9","Bahamas",336,0.57,0.45,0.58
"10","Bangladesh",46,0.32,0.3,0.24
"11","Barbados",240,0.58,0.61,0.5
"12","Belgium",113,0.7,0.51,0.72
"13","Belize",302,0.4,0.22,0.46
"14","Benin",144,0.41,0.33,0.61
"15","Bolivia",252,0.19,0.19,0.25
"16","Botswana",161,0.58,0.54,0.64
"17","Brazil",416,0.33,0.21,0.11
"18","Bulgaria",99,0.45,0.32,0.48
"19","Burkina Faso",37,0.47,0.4,0.51
"20","Cambodia",320,0.27,0.29,0.25
"21","Cameroon",118,0.23,0.17,0.31
"22","Canada",90,0.72,0.65,0.54
"23","Chile",329,0.54,0.35,0.52
"24","Colombia",199,0.31,0.17,0.31
"25","Costa Rica",345,0.57,0.4,0.72
"26","Côte d’Ivoire",94,0.36,0.32,0.46
"27","Croatia",115,0.5,0.42,0.47
"28","Cyprus",114,0.67,0.63,0.59
"29","Czechia",179,0.7,0.59,0.67
"30","Congo - Kinshasa",46,0.28,0.13,0.44
"31","Denmark",69,0.84,0.79,0.8
"32","Dominica",356,0.56,0.38,0.6
"33","Dominican Republic",219,0.39,0.27,0.45
"34","Ecuador",196,0.3,0.12,0.3
"35","Egypt",113,0.34,0.21,0.33
"36","El Salvador",1659,0.2,0.21,0.11
"37","Estonia",118,0.76,0.75,0.78
"38","Finland",54,0.84,0.81,0.83
"39","France",126,0.64,0.54,0.53
"40","Gabon",226,0.3,0.27,0.49
"41","Gambia",22,0.4,0.16,0.38
"42","Georgia",285,0.5,0.63,0.47
"43","Germany",71,0.79,0.8,0.73
"44","Ghana",41,0.45,0.36,0.53
"45","Greece",98,0.5,0.35,0.42
"46","Grenada",324,0.54,0.4,0.5
"47","Guatemala",123,0.3,0.14,0.32
"48","Guinea",38,0.31,0.18,0.44
"49","Guyana",288,0.4,0.17,0.4
"50","Haiti",59,0.24,0.12,0.29
"51","Honduras",188,0.27,0.17,0.3
"52","Hong Kong SAR China",139,0.68,0.79,0.65
"53","Hungary",196,0.44,0.41,0.24
"54","India",37,0.39,0.36,0.37
"55","Indonesia",96,0.38,0.36,0.24
"56","Ireland",101,0.74,0.64,0.63
"57","Italy",108,0.63,0.51,0.64
"58","Jamaica",124,0.48,0.3,0.51
"59","Japan",33,0.76,0.83,0.77
"60","Jordan",194,0.56,0.5,0.54
"61","Kazakhstan",163,0.46,0.46,0.44
"62","Kenya",100,0.39,0.45,0.43
"63","Kuwait",101,0.46,0.55,0.25
"64","Kyrgyzstan",112,0.32,0.28,0.27
"65","Latvia",175,0.68,0.66,0.73
"66","Lebanon",141,0.32,0.24,0.17
"67","Liberia",60,0.33,0.23,0.34
"68","Lithuania",156,0.7,0.63,0.81
"69","Luxembourg",91,0.73,0.76,0.58
"70","Madagascar",95,0.33,0.22,0.4
"71","Malawi",78,0.43,0.33,0.46
"72","Malaysia",244,0.56,0.6,0.47
"73","Mali",48,0.28,0.29,0.32
"74","Malta",119,0.63,0.54,0.54
"75","Mauritania",57,0.27,0.24,0.21
"76","Mauritius",215,0.54,0.52,0.59
"77","Mexico",188,0.25,0.21,0.16
"78","Moldova",255,0.43,0.44,0.5
"79","Mongolia",166,0.48,0.55,0.5
"80","Montenegro",168,0.48,0.36,0.7
"81","Morocco",267,0.38,0.31,0.37
"82","Mozambique",63,0.3,0.22,0.4
"83","Namibia",318,0.54,0.43,0.62
"84","Nepal",93,0.48,0.49,0.41
"85","Netherlands",64,0.75,0.78,0.66
"86","New Zealand",199,0.74,0.71,0.6
"87","Niger",55,0.35,0.29,0.41
"88","Nigeria",33,0.39,0.28,0.51
"89","North Macedonia",142,0.46,0.39,0.55
"90","Norway",54,0.82,0.9,0.71
"91","Pakistan",45,0.35,0.33,0.27
"92","Panama",533,0.34,0.17,0.31
"93","Paraguay",259,0.26,0.09,0.36
"94","Peru",299,0.32,0.24,0.34
"95","Philippines",151,0.31,0.22,0.2
"96","Poland",191,0.58,0.6,0.6
"97","Portugal",121,0.57,0.41,0.48
"98","Qatar",69,0.58,0.57,0.39
"99","Romania",129,0.52,0.46,0.53
"100","Russia",300,0.29,0.31,0.3
"101","Rwanda",620,0.56,0.49,0.78
"102","St. Kitts & Nevis",296,0.59,0.38,0.63
"103","St. Lucia",310,0.55,0.45,0.62
"104","St. Vincent & Grenadines",361,0.59,0.55,0.54
"105","Senegal",76,0.47,0.26,0.57
"106","Serbia",177,0.37,0.41,0.38
"107","Sierra Leone",52,0.37,0.33,0.45
"108","Singapore",178,0.76,0.88,0.75
"109","Slovakia",149,0.58,0.66,0.48
"110","Slovenia",69,0.56,0.57,0.53
"111","South Africa",260,0.49,0.3,0.51
"112","South Korea",115,0.72,0.76,0.74
"113","Spain",121,0.67,0.74,0.64
"114","Sri Lanka",180,0.41,0.35,0.43
"115","Suriname",134,0.52,0.39,0.58
"116","Sweden",92,0.78,0.74,0.8
"117","Tanzania",41,0.36,0.25,0.48
"118","Thailand",395,0.42,0.27,0.32
"119","Togo",59,0.34,0.24,0.49
"120","Trinidad & Tobago",276,0.3,0.15,0.19
"121","Tunisia",267,0.4,0.33,0.37
"122","Turkey",468,0.34,0.34,0.24
"123","Uganda",150,0.3,0.42,0.28
"124","Ukraine",116,0.37,0.38,0.5
"125","United Kingdom",139.33162,0.7,0.51,0.56
"126","United States",542,0.58,0.46,0.36
"127","Uruguay",449,0.59,0.32,0.63
"128","Uzbekistan",85,0.46,0.64,0.35
"129","Venezuela",199,0.11,0.07,0.1
"130","Vietnam",135,0.48,0.47,0.51
"131","Zambia",137,0.41,0.31,0.47
"132","Zimbabwe",150,0.35,0.35,0.37
